id;name;link;specialization;films_years;description;path_to_folder
2568;Екатерина Рябова;https://www.kinopoisk.ru/name/2303733;Актриса;39, 2010 — 2024;Филин 2,Филин,Истребители,Принц Сибири,Ленинград 46;actors_ussr_russia/2568
22083;Мария Спроге;https://www.kinopoisk.ru/name/7091318;Художник;1, 2022 — 2022;;actors_ussr_russia/22083
18834;Стефани Кайлер;https://www.kinopoisk.ru/name/6495961;Актриса;3, 2014 — 2015;;actors_ussr_russia/18834
936;Слава;https://www.kinopoisk.ru/name/745400;Актриса,Актриса дубляжа;33, 2001 — 2023;Упасть вверх,Крот;actors_ussr_russia/936
2569;Александр Хочинский;https://www.kinopoisk.ru/name/281226;Актер,Композитор,Актер дубляжа;41, 1967 — 2005;Эскадрон гусар летучих,В огне брода нет,Бумбараш,Рожденная революцией,Рассказы о Кешке и его друзьях,Строговы;actors_ussr_russia/2569
35682;Людмила Голубкина;https://www.kinopoisk.ru/name/2660903;Сценарист;2, 1989 — 2008;;actors_ussr_russia/35682
22084;Александр Яблоков;https://www.kinopoisk.ru/name/7091890;Оператор;3, 2021 — 2022;;actors_ussr_russia/22084
26816;Руслан Алехно;https://www.kinopoisk.ru/name/3201286;;3;;actors_ussr_russia/26816
9074;Чеслав Головинец;https://www.kinopoisk.ru/name/3648058;Актер;18, 2012 — 2023;Русский крест,Один вдох,Готовы на всё;actors_ussr_russia/9074
26820;Юрий Горбунов;https://www.kinopoisk.ru/name/1738781;Актер,Продюсер;31, 2003 — 2021;Завтра будет завтра;actors_ussr_russia/26820
2570;Илья Шидловский;https://www.kinopoisk.ru/name/2303634;Актер,Режиссер,Сценарист,Продюсер;35, 2008 — 2024;Невский. Расплата за справедливость,Ментовские войны 5,Крылья империи,Тульский Токарев,Разведчицы;actors_ussr_russia/2570
5821;Виталий Баганов;https://www.kinopoisk.ru/name/293967;Актер;26, 1979 — 2018;Шерлок Холмс и доктор Ватсон: Кровавая надпись,Пиковая дама,Физики,Сопрано,Луи,Закон и порядок. Специальный корпус,Американцы,CSI: Место преступления Нью-Йорк;actors_ussr_russia/5821
46410;Sonia Plakydiuk;https://www.kinopoisk.ru/name/6435694;;1;;actors_ussr_russia/46410
4191;Альберт Ибрагимов;https://www.kinopoisk.ru/name/5448659;Актер,Актер дубляжа;22, 2011 — 2023;Московские тайны. Бедная Лиза,Московские тайны. Либерея,Беспринципные,Гранд;actors_ussr_russia/4191
7439;Светлана Макарова-Васильченко;https://www.kinopoisk.ru/name/1831199;Актриса,Режиссер,Сценарист,Продюсер;13, 2006 — 2021;Неадекватные люди;actors_ussr_russia/7439
938;Мария Ахметзянова;https://www.kinopoisk.ru/name/2635487;Актриса,Актриса дубляжа;32, 2007 — 2023;Ухожу красиво,Триггер,Волшебный участок,Молодёжка,Большая игра;actors_ussr_russia/938
31414;Алиса Гурьева;https://www.kinopoisk.ru/name/3400142;Актриса дубляжа,Актриса;42, 2013 — 2021;По законам военного времени;actors_ussr_russia/31414
26821;Аделина Любская;https://www.kinopoisk.ru/name/1747807;Актриса дубляжа,Актриса;49, 2008 — 2023;Тест на беременность,Невский. Чужой среди чужих;actors_ussr_russia/26821
4192;Александра Дорохина;https://www.kinopoisk.ru/name/269655;Актриса;28, 1966 — 2009;Поминальная молитва,Кин-дза-дза!,Неисправимый лгун,Про Красную Шапочку,Ваш сын и брат,12 стульев;actors_ussr_russia/4192
15583;Денис Бекетов;https://www.kinopoisk.ru/name/3181717;Актер,Оператор;5, 2013 — 2022;Нулевой пациент;actors_ussr_russia/15583
939;Егор Крид;https://www.kinopoisk.ru/name/4183472;Актер;19, 2012 — 2023;Музыкальная интуиция,Импровизация;actors_ussr_russia/939
10704;Ирина Жёлтикова;https://www.kinopoisk.ru/name/3423753;Актриса;9, 2010 — 2022;Подольские курсанты;actors_ussr_russia/10704
46412;Хусейн Чиллаев;https://www.kinopoisk.ru/name/7131695;Художник,Режиссер,Сценарист,Продюсер,Актер;15, 2015 — 2023;;actors_ussr_russia/46412
31416;Ирина Винер;https://www.kinopoisk.ru/name/2339811;;5;;actors_ussr_russia/31416
26822;Вера Филатова;https://www.kinopoisk.ru/name/1313324;Актриса,Продюсер,Сценарист,Режиссер,Монтажер;28, 1984 — 2022;Я и миссис Джонс,Пуаро,Пип шоу,Призраки;actors_ussr_russia/26822
10705;Семён Арзуманов;https://www.kinopoisk.ru/name/3665661;Актер;14, 2011 — 2023;Полицейский с YouТюба;actors_ussr_russia/10705
7441;Полина Шабаева;https://www.kinopoisk.ru/name/2648895;Актриса;4, 2007 — 2017;;actors_ussr_russia/7441
940;Александр Головчанский;https://www.kinopoisk.ru/name/2284700;Актер дубляжа,Актер;98, 1978 — 2022;Остров Джованни,Самара;actors_ussr_russia/940
4194;Владимир Битоков;https://www.kinopoisk.ru/name/4428042;Режиссер,Актер,Сценарист;8, 2011 — 2022;Хэдшот;actors_ussr_russia/4194
15585;Мария Морозова;https://www.kinopoisk.ru/name/6520487;Актриса;3, 2021 — 2023;Политех;actors_ussr_russia/15585
5824;Андрей Сильвестров;https://www.kinopoisk.ru/name/1831207;Продюсер,Режиссер,Актер,Сценарист;30, 1998 — 2023;;actors_ussr_russia/5824
12335;Леонид Меламуд;https://www.kinopoisk.ru/name/2585015;Продюсер;16, 2012 — 2023;Подольские курсанты,Провокатор,Грымза;actors_ussr_russia/12335
35690;Антон Алексеев;https://www.kinopoisk.ru/name/1821664;Актер;13, 1997 — 2021;Чистилище,Водоворот;actors_ussr_russia/35690
941;Юлия Ковальчук;https://www.kinopoisk.ru/name/1543742;Актриса,Актриса дубляжа;39, 2006 — 2021;;actors_ussr_russia/941
5825;Мария Сластненкова;https://www.kinopoisk.ru/name/2284335;Актриса;15, 2006 — 2022;Два холма. Фильм,Я вернусь,Десантный Батя,Два холма;actors_ussr_russia/5825
20463;Мария Тимофеева;https://www.kinopoisk.ru/name/7171386;Актриса,Композитор;2, 2021 — 2023;Отмороженные;actors_ussr_russia/20463
